,MIMA,,Minute Man,National Historical Park,,,2007/01/10,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,
,MABE,,Mary McLeod Bethune Council House,National Historic Site,,,2006/09/21,Lands - http://landsnet.nps.gov/tractsnet/documents/MABE/Metadata/mabe_metadata.xml,
,FRDO,,Frederick Douglass,National Historic Site,,,2006/09/21,Lands - http://landsnet.nps.gov/tractsnet/documents/FRDO/Metadata/frdo_metadata.xml,
,FOSM,,Fort Smith,National Historic Site,,,2006/11/02,Lands - http://landsnet.nps.gov/tractsnet/documents/FOSM/Metadata/fosm_metadata.xml,
,GEGR,,General Grant,National Memorial,,,2007/02/02,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,
,IATR,,Ice Age,National Scenic Trail,,,2007/02/26,Lands - http://landsnet.nps.gov/tractsnet/documents/IATR/Metadata/iatr_metadata.xml,
,MIMI,,Minuteman Missile,National Historic Site,,,2008/03/24,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMI/Metadata/mimi_metadata.xml,
,HOSP,,Hot Springs,National Park,,,2007/02/28,Lands - http://landsnet.nps.gov/tractsnet/documents/HOSP/Metadata/hosp_metadata.xml,
,PEFO,,Petrified Forest,National Park,,,2007/09/20,Lands - http://landsnet.nps.gov/tractsnet/documents/PEFO/Metadata/pefo_metadata.xml,
,LIBO,,Lincoln Boyhood,National Memorial,,,2007/08/22,Lands - http://landsnet.nps.gov/tractsnet/documents/LIBO/Metadata/libo_metadata.xml,
,LIHO,,Lincoln Home,National Historic Site,,,2007/08/27,Lands - http://landsnet.nps.gov/tractsnet/documents/LIHO/Metadata/liho_metadata.xml,
,ALAG,,Alagnak,National Wild & Scenic River,,,2008/01/08,Lands,
,ANIA,,Aniakchak,National Preserve,,,2008/01/08,Lands,
,DESO,,De Soto,National Memorial,,,2007/10/16,Lands - http://landsnet.nps.gov/tractsnet/documents/DESO/Metadata/deso_metadata.xml,
,DRTO,,Dry Tortugas,National Park,,,2007/11/07,Lands - http://landsnet.nps.gov/tractsnet/documents/DRTO/Metadata/drto_metadata.xml,
,VICR,,Virgin Islands Coral Reef,National Monument,,,2008/05/30,Lands - http://landsnet.nps.gov/tractsnet/documents/VICR/Metadata/vicr_metadata.xml,
,KNRI,,Knife River Indian Villages,National Historic Site,,,2007/10/31,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,
,JELA,,Jean Lafitte,National Historical Park and Preserve,,,2007/11/07,Lands - http://landsnet.nps.gov/tractsnet/documents/JELA/Metadata/jela_metadata.xml,
,PUHE,,Pu'ukohola Heiau,National Historic Site,,,2008/06/18,Lands - http://landsnet.nps.gov/tractsnet/documents/PUHE/Metadata/puhe_metadata.xml,
,LAVO,,Lassen Volcanic,National Park,,,2007/11/05,Lands - http://landsnet.nps.gov/tractsnet/documents/LAVO/Metadata/lavo_metadata.xml,
,YELL,,Yellowstone,National Park,,,2008/04/23,Lands - http://landsnet.nps.gov/tractsnet/documents/YELL/Metadata/yell_metadata.xml,
,PUHO,,Pu'uhonua o Honaunau,National Historical Park,,,2008/08/19,Lands - http://landsnet.nps.gov/tractsnet/documents/PUHO/Metadata/puho_metadata.xml,
,ALFL,,Alibates Flint Quarries,National Monument,,,2008/06/02,Lands - http://landsnet.nps.gov/tractsnet/documents/ALFL/Metadata/alfl_metadata.xml,
,NICO,,Nicodemus,National Historic Site,,,2008/11/06,Lands - http://landsnet.nps.gov/tractsnet/documents/NICO/Metadata/nico_metadata.xml,
,GWMP,,George Washington,Memorial Parkway,,,2008/11/17,Lands - http://landsnet.nps.gov/tractsnet/documents/GWMP/Metadata/gwmp_metadata.xml,
,CLBA,,Clara Barton,National Historic Site,,,2008/11/17,Lands - http://landsnet.nps.gov/tractsnet/documents/CLBA/Metadata/clba_metadata.xml,
,FOWA,,Fort Washington Park,Park,,,2008/11/17,Lands - http://landsnet.nps.gov/tractsnet/documents/FOWA/Metadata/fowa_metadata.xml,
,KICA,,Kings Canyon,National Park,,,2003/11/07,Lands,
,SEQU,,Sequoia,National Park,,,2004/01/09,Lands,
,BAND,,Bandelier,National Monument,,,,Park Created Boundary - contact Kay Beeley,
,ACAD,,Acadia,National Park,,,,Shift 0.03 mi.,
,ROCR,,Achbold Parkway,Park,,,,,
,ADAM,,Adams,National Historical Park,,,,Shift 0.03 mi.,
,AGFO,,Agate Fossil Beds,National Monument,,,,"Dave's boundaries extend 0.3 mi. offshore, Dean's do not.",
,ALPO,,Allegheny Portage Railroad,National Historic Site,,,,Shift 0.01 mi.; major discrepancy-east unit,
,AMME,,American Memorial Park,,,,,"Good, moved .21mi se to match drg",
,AMIS,,Amistad,National Recreation Area,,,,Shift 0.03 mi.,
,NACE,,Anacostia Park,Park,,,,,
,NACE,,"Anacostia Park, Section C",Park,,,,,
,NACE,,"Anacostia Park, Section D",Park,,,,,
,NACE,,"Anacostia Park, Section E",Park,,,,,
,NACE,,"Anacostia Park, Section F",Park,,,,,
,NACE,,"Anacostia Park, Section G",Park,,,,,
,ANDE,,Andersonville,National Historical Site,,,,Good,
,APIS,,Apostle Islands,National Lakeshore,,,,"Dave's boundaries extend 0.3 mi. offshore, Dean's do not.",
,ARPO,,Arkansas Post,National Memorial,,,,"small diffs. in bound., location generally OK",
,ASIS,,Assateague Island,National Seashore,,,,Significant differences.,
,NACE,,Bald Eagle Hill,Park,,,,,
,NACE,,Baltimore Washington Parkway,Parkway,,,,,
,NACC,,Banneker (Benjamin) Park,Park,,,,,
,ROCR,,Barnard Hill,Park,,,,,
,ROCR,,Battery Kemble Park,Park,,,,,
,NACE,,Battery Ricketts,Park,,,,,
,ROCR,,Battleground National Cemetery,Park,,,,,
,ROCR,,Beach Parkway,Park,,,,,
,BEFR,,Benjamin Franklin,National Memorial,,,,Good (copied from Dean's),
,BEOL,,Bent's Old Fort,National Historic Site,,,,Shift 0.03 mi.,
,BIBE,,Big Bend,National Park,,,,Shift 0.03 mi.,
,BICY,,Big Cypress,National Preserve,,,,Good,
,BIHO,,Big Hole,National Battlefield,,,,"BIHO poly good, but not aligned w/NEPE unit. Also NEPE unit is missing from Dean's set.",
,BISO,,Big South Fork,National River and Recreation Area,,,,Good,
,BITH,,Big Thicket,National Preserve,,,,Shift 0.02 mi.,
,BICA,,Bighorn Canyon,National Recreation Area,,,,Shift 0.03 mi.,
,BISC,,Biscayne,National Park,,,,Good,
,BLRI,,Blue Ridge,Parkway,,,,Shift 0.01-0.02 mi.; minor differences in details,
,BOWA,,Booker T. Washington,National Monument,,,,Shifted 0.02 mi.; discrepancies,
,BOST,,Boston,National Historical Park,,,,"Bunker Hill Monument,   Shift 0.03 mi.",
,ROCR,,Brentwood Park,,,,,,
,BOAF,,Boston African American,National Historic Site,,,,Shift 0.03 mi.,
,ROCR,,Bryce Park,Park,,,,,
,NACE,,Buzzard Point,Park,,,,,
,CACH,,Canyon de Chelly,National Monument,,,,Shift 0.04 miles,
,CACO,,Cape Cod,National Seashore,,,,Shift 0.03 miles,
,CAHA,,Cape Hatteras,National Seashore,,,,Good,
,CALO,,Cape Lookout,National Seashore,,,,Good,
,CARE,,Capitol Reef,National Park,,,,Shifted 0.04 miles,
,CAGR,,Casa Grande Ruins,National Monument,,,,Shift 0.04 miles,
,ROCR,,Center Parking,Park,,,,,
,CHAT,,Chattahoochee River,National Recreation Area,,,,Good,
,CHOH,,Chesapeake and Ohio Canal,National Historic Park,,,,,
,ROCR,,Chevy Chase Circle,Park,,,,,
,CHIC,,Chickasaw,National Recreation Area,,,,Shifted 0.02 miles,
,CHRO,,Chimney Rock,National Historical Park,,,,Good (copied from Dean's),
,CIRO,,City of Rocks,National Reserve,,,,Shifted 0.04 miles,
,COLM,,Colorado,National Monument,,,,Shifted 0.04 miles,
,NACC,,Columbus Plaza,Park,,,,,
,CORO,,Coronado,National Memorial,,,,Shifted 0.04 miles,
,COWP,,Cowpens,National Battlefield,,,,Good,
,CRLA,,Crater Lake,National Park,,,,Shifted 0.06 miles,
,CRMO,,Craters of the Moon,National Monument,,,,Dave's set has units and islands; Dean's is one large poly,
,CUIS,,Cumberland Island,National Seashore,,,,Good,
,ROCR,,Curb Parking,Park,,,,,
,CURE,,Curecanti,National Recreation Area,,,,Shift 0.03 miles,
,ROCR,,Dalecarlia Parkway,Park,,,,,
,DAAV,,Dayton Aviation Heritage,National Historical Park,,,,Good,
,DEVA,,Death Valley,National Park,,,,Shifted 0.05 miles,
,DEWA,,Delaware Water Gap,National Recreation Area,,,,Small unit at north end missing from Dave's set,
,DINO,,Dinosaur,National Monument,,,,Shifted 0.04 miles,
,ROCR,,Dumbbarton Oaks Park,Park,,,,,
,NACC,,Dupont Circle,Park,,,,,
,NACC,,East Potomac Park Hains Point,Park,,,,,
,EBLA,,Ebey's Landing,National Historical Reserve,,,,Shifted 0.06 mi.; couple of discrepancies,
,EDAL,,Edgar Allan Poe,National Historic Site,,,,"near philly, what park?",
,EDIS,,Edison,National Historic Site,,,,Shift 0.02 mi.,
,EISE,,Eisenhower,National Historic Site,,,,Shifted 0.02 miles; minor discrepancies,
,ELMA,,El Malpais,National Monument,,,,Shifted 0.03 miles,
,EUON,,Eugene O'Neill,National Historic Site,,,,Shift 0.06 mi.,
,EVER,,Everglades,National Park,,,,Good,
,NACC,,Farragut Square,Park,,,,,
,FIIS,,Fire Island,National Seashore,,,,Shifted 0.02 miles,
,NACE,,Folger Park,Park,,,,,
,ROCR,,Fort Bayard Park,Park,,,,,
,ROCR,,Fort Bunker Hill,Park,,,,,
,FOCA,,Fort Caroline,National Memorial,,,,Good,
,NACE,,Fort Chaplin Park,Park,,,,,
,NACE,,Fort Circle Park,Park,,,,,
,FODO,,Fort Donelson,National Battlefield,,,,Good,
,NACE,,Fort Dupont Park,Park,,,,,
,FOLA,,Fort Laramie,National Historic Site,,,,Shifted 0.03 miles,
,FOLS,,Fort Larned,National Historic Site,,,,Shifted 0.02 miles,
,NACE,,Fort Mahan Park,Park,,,,,
,FOMA,,Fort Matanzas,National Monument,,,,Good,
,FOMC,,Fort McHenry,National Monument and Historic Shrine,,,,Shifted 0.02 miles; small discrepancies,
,FONE,,Fort Necessity,National Battlefield,,,,Shifted 0.01 miles; minor discrepancies,
,FOPO,,Fort Point,National Historic Site,,,,Good (unit is w/in GOGA)  (copied from Dean's),
,FOPU,,Fort Pulaski,National Monument,,,,Good,
,FORA,,Fort Raleigh,National Historical Site,,,,Good,
,ROCR,,Fort Reno Park,Park,,,,,
,FOVA,,Fort Vancouver,National Historic Site,,,,Shifted 0.06 miles,
,ROCR,,Francis G. Newlands Park (Little Forest),Park,,,,,
,NACC,,Franklins Square,Park,,,,,
,FRLA,,Frederick Law Olmsted,National Historic Site,,,,"near newton MA, what park?",
,FRHI,,Friendship Hill,National Historic Site,,,,Shifted 0.01 miles; minor discrepancies,
,NACC,,Galvez (Bernardo De) Park,Park,,,,,
,GATE,,Gateway,National Recreation Area,,,,Shifted 0.02 miles,
,GARI,,Gauley River,National Recreation Area,,,,"Same general shape, but totally different boundaries",
,GERO,,George Rogers Clark,National Historical Park,,,,Significant differences,
,GEWA,,George Washington Birthplace,National Monument,,,,Significant differences,
,ROCR,,Georgetown Waterfront Park,Park,,,,,
,GETT,,Gettysburg,National Military Park,,,,"Shifted 0.02 miles; external boundary good, but Dean's has more internal divisions",
,GLCA,,Glen Canyon,National Recreation Area,,,,Shifted 0.04 miles,
,ROCR,,Glover Parkway and Children's Playground,Park,,,,,
,GRCA,,Grand Canyon,National Park,,,,Shifted 0.04 miles,
,NACC,,Gompers (Samuel) Memorial Park,,,,,,
,GRPO,,Grand Portage,National Monument,,,,Many discrepancies in details; off up to 0.1 miles,
,ROCR,,Grant Circle,Park,,,,,
,GRBA,,Great Basin,National Park,,,,Shifted 0.04 miles,
,GRSP,,Green Springs,National Historic Landmark District,,,,Good (copied from Dean's),
,GUMO,,Guadalupe Mountains,National Park,,,,Shifted 0.03 miles,
,GUCO,,Guilford Courthouse,National Military Park,,,,Good,
,HAFO,,Hagerman Fossil Beds,National Monument,,,,Shifted 0.04 miles,
,HALE,,Haleakala,National Park,,,,Shifted 0.29 miles; some internal islands missing from Dean's set,
,HAMP,,Hampton,National Historic Site,,,,Shifted 0.02 miles; discrepancies,
,HSTR,,Harry S. Truman,National Historic Site,,,,Shifted 0.02 miles; Dean's polys 2x the size of Dave's,
,PIMA,,Hohokam Pima,National Monument,,,,Shifted 0.04 miles,
,HOCU,,Hopewell Culture,National Historical Park,,,,Shifted 0.01 miles; discrepancies in one unit; significant differences in another unit,
,HOFU,,Hopewell Furnace,National Historic Site,,,,Shifted 0.02 miles,
,HOBE,,Horseshoe Bend,National Military Park,,,,Good,
,INDE,,Independence,National Historical Park,,,,Shifted 0.02 miles; moderated differences; small units missing from Dave's set,
,ISRO,,Isle Royale,National Park,,,,Dean's set is just islands; Dave's boundary extends 4.5 mi. offshore,
,JEFF,,Jefferson National Expansion Memorial,National Memorial,,,,Small differences in west unit; east unit missing from Dave's set,
,JECA,,Jewel Cave,National Monument,,,,Shifted 0.03 miles; northeast corner off more than the shift amount,
,JODA,,John Day Fossil Beds,National Monument,,,,Shifted 0.06 miles,
,JOMU,,John Muir,National Historic Site,,,,Shifted 0.06 miles,
,JOFL,,Johnstown Flood,National Memorial,,,,Shifted 0.01 miles; many small discrepancies,
,KALA,,Kalaupapa,National Historical Park,,,,Good  (copied from Dean's),
,NACC,,Kelly (Edward J.) Park,,,,,,
,KIMO,,Kings Mountain,National Military Park,,,,Good,
,ROCR,,Klingle Valley Parkway,Park,,,,,
,,,LOWE,,,,,"Donut polys, call park",
,WHHO,,Lafayette Square,Park,,,,,
,LACH,,Lake Chelan,National Recreation Area,,,,Shifted 0.06 miles,
,LAMR,,Lake Meredith,National Recreation Area,,,,Shifted 0.03 miles,
,LARO,,Lake Roosevelt,National Recreation Area,,,,Shifted 0.05 miles,
